Arsenal,12,9,2,1,24,6,+18,29,2.42,20.7,6.1,+14.6,+1.22,W W W D W,"60,178","Viktor Gyökeres, Eberechi Eze - 4",David Raya,
Chelsea,12,7,2,3,23,11,+12,23,1.92,22.1,13.9,+8.2,+0.69,W L W W W,"39,586","Pedro Neto, João Pedro... - 4",Robert Sánchez,
Manchester City,12,7,1,4,24,10,+14,22,1.83,21.8,12.6,+9.2,+0.76,W L W W L,"52,344",Erling Haaland - 14,Gianluigi Donnarumma,
Aston Villa,12,6,3,3,15,11,+4,21,1.75,10.7,16.2,-5.5,-0.46,W W L W W,"41,167","Emi Buendía, Donyell Malen... - 3",Emiliano Martínez,
Crystal Palace,12,5,5,2,16,9,+7,20,1.67,20.2,14.4,+5.9,+0.49,D L W D W,"24,947",Jean-Philippe Mateta - 6,Dean Henderson,
Brighton,12,5,4,3,19,16,+3,19,1.58,17.8,15.0,+2.8,+0.24,W L W D W,"31,507",Danny Welbeck - 7,Bart Verbruggen,
Sunderland,12,5,4,3,14,11,+3,19,1.58,10.4,15.3,-4.9,-0.40,W W D D L,"45,602",Wilson Isidor - 4,Robin Roefs,
Bournemouth,12,5,4,3,19,20,-1,19,1.58,17.1,15.6,+1.5,+0.13,D W L L D,"11,172",Antoine Semenyo - 6,Đorđe Petrović,
Tottenham,12,5,3,4,20,14,+6,18,1.50,11.1,17.1,-6.0,-0.50,L W L D L,"61,095",Richarlison - 5,Guglielmo Vicario,
Manchester Utd,12,5,3,4,19,19,0,18,1.50,19.9,16.6,+3.3,+0.28,W W D D L,"74,024",Bryan Mbeumo - 5,"Altay Bayındır, Senne Lammens",
Everton,12,5,3,4,13,13,0,18,1.50,15.0,16.9,-1.9,-0.16,L L D W W,"51,968",Iliman Ndiaye - 4,Jordan Pickford,
Liverpool,12,6,0,6,18,20,-2,18,1.50,19.6,15.5,+4.1,+0.34,L L W L L,"60,379",Mohamed Salah - 4,Alisson,
Brentford,12,5,1,6,18,19,-1,16,1.33,18.3,14.5,+3.7,+0.31,W W L W L,"17,046",Thiago - 9,Caoimhín Kelleher,
Newcastle Utd,12,4,3,5,13,15,-2,15,1.25,15.1,13.6,+1.5,+0.13,L W L L W,"52,183",Nick Woltemade - 4,Nick Pope,
Fulham,12,4,2,6,13,16,-3,14,1.17,12.8,14.6,-1.8,-0.15,L L W L W,"27,110","Raúl Jiménez, Harry Wilson... - 2",Bernd Leno,
Nott'ham Forest,12,3,3,6,13,20,-7,12,1.00,15.1,18.5,-3.4,-0.28,L L D W W,"30,395",Morgan Gibbs-White - 3,Matz Sels,
West Ham,12,3,2,7,15,25,-10,11,0.92,13.0,20.3,-7.3,-0.61,L L W W D,"62,453",Callum Wilson - 4,Alphonse Areola,
Leeds United,12,3,2,7,11,22,-11,11,0.92,14.3,16.1,-1.8,-0.15,L W L L L,"36,739",Lukas Nmecha - 3,Lucas Perri,
Burnley,12,3,1,8,14,24,-10,10,0.83,8.6,25.1,-16.6,-1.38,W W L L L,"21,520",Jaidon Anthony - 4,Martin Dúbravka,
Wolves,12,0,2,10,7,27,-20,2,0.17,11.4,17.3,-5.8,-0.49,L L L L L,"30,188","Hwang Hee-chan, Santiago Bueno... - 1",Sam Johnstone,
